Name,Detail1,Link,"Todays Date","End Date",Image
"£8 off","<p><small>Your next Iceland shop</small></p><p><small>Place an order £55+</small></p><p><br></p>",http://tinyurl.com/ydeytvub,"2019-01-23 00:00:00","2019-02-08 00:00:00","C:\xampp\htdocs\coupon\public/images/offer/1548318733Iceland.png"
"20% off","<p><small>Pack of 3 Krispy Kreme doughnuts</small></p><p><small>Valid At Krispy Kreme</small></p>",http://tinyurl.com/yd7rpn8q,"2019-01-25 00:00:00","2019-01-24 00:00:00","C:\xampp\htdocs\coupon\public/images/offer/1548403468KrispyK.png"
